ID_kod,Zwolnienie,Split_payment,Uwagi
3038,,"Obowiązkowy mechanizm podzielonej płatności",
3044,,"Obowiązkowy mechanizm podzielonej płatności",
3046,,"Obowiązkowy mechanizm podzielonej płatności",
3049,,"Obowiązkowy mechanizm podzielonej płatności",
3053,,"Obowiązkowy mechanizm podzielonej płatności",
3056,,"Obowiązkowy mechanizm podzielonej płatności",
3058,,"Obowiązkowy mechanizm podzielonej płatności",
3067,,"Obowiązkowy mechanizm podzielonej płatności",
3069,,"Obowiązkowy mechanizm podzielonej płatności",
3075,,"Obowiązkowy mechanizm podzielonej płatności",
3077,,"Obowiązkowy mechanizm podzielonej płatności",
3082,,"Obowiązkowy mechanizm podzielonej płatności",
3086,,"Obowiązkowy mechanizm podzielonej płatności",
3098,,"Obowiązkowy mechanizm podzielonej płatności",
3100,,"Obowiązkowy mechanizm podzielonej płatności",
3102,,"Obowiązkowy mechanizm podzielonej płatności",
3116,,"Obowiązkowy mechanizm podzielonej płatności",
3120,,"Obowiązkowy mechanizm podzielonej płatności",
3122,,"Obowiązkowy mechanizm podzielonej płatności",
3127,,"Obowiązkowy mechanizm podzielonej płatności",
3135,,"Obowiązkowy mechanizm podzielonej płatności",
3138,,"Obowiązkowy mechanizm podzielonej płatności",
3148,,"Obowiązkowy mechanizm podzielonej płatności",
3151,,"Obowiązkowy mechanizm podzielonej płatności",
3158,,"Obowiązkowy mechanizm podzielonej płatności",
3164,,"Obowiązkowy mechanizm podzielonej płatności",
3174,,"Obowiązkowy mechanizm podzielonej płatności",
3186,,"Obowiązkowy mechanizm podzielonej płatności",
3189,,"Obowiązkowy mechanizm podzielonej płatności",
3192,,"Obowiązkowy mechanizm podzielonej płatności",
3195,,"Obowiązkowy mechanizm podzielonej płatności",
3198,,"Obowiązkowy mechanizm podzielonej płatności",
3205,,"Obowiązkowy mechanizm podzielonej płatności",
3227,,"Obowiązkowy mechanizm podzielonej płatności",
3229,,"Obowiązkowy mechanizm podzielonej płatności",
3231,,"Obowiązkowy mechanizm podzielonej płatności",
3249,,"Obowiązkowy mechanizm podzielonej płatności",
3251,,"Obowiązkowy mechanizm podzielonej płatności",
3254,,"Obowiązkowy mechanizm podzielonej płatności",
3256,,"Obowiązkowy mechanizm podzielonej płatności",
3258,,"Obowiązkowy mechanizm podzielonej płatności",
3271,,"Obowiązkowy mechanizm podzielonej płatności",
3285,,"Obowiązkowy mechanizm podzielonej płatności",
3347,,"Obowiązkowy mechanizm podzielonej płatności",
3520,,"Obowiązkowy mechanizm podzielonej płatności",
3584,,"Obowiązkowy mechanizm podzielonej płatności",
3613,,"Obowiązkowy mechanizm podzielonej płatności",
3632,,"Obowiązkowy mechanizm podzielonej płatności",
3634,,"Obowiązkowy mechanizm podzielonej płatności",
3659,,"Obowiązkowy mechanizm podzielonej płatności",
3686,,"Obowiązkowy mechanizm podzielonej płatności",
3712,,"Obowiązkowy mechanizm podzielonej płatności",
3829,,"Obowiązkowy mechanizm podzielonej płatności",
3941,,"Obowiązkowy mechanizm podzielonej płatności",
4157,,"Obowiązkowy mechanizm podzielonej płatności",
4307,,"Obowiązkowy mechanizm podzielonej płatności",
4756,,"Obowiązkowy mechanizm podzielonej płatności",
4758,,"Obowiązkowy mechanizm podzielonej płatności",
4760,,"Obowiązkowy mechanizm podzielonej płatności",
4762,,"Obowiązkowy mechanizm podzielonej płatności",
4765,,"Obowiązkowy mechanizm podzielonej płatności",
4775,,"Obowiązkowy mechanizm podzielonej płatności",
4778,,"Obowiązkowy mechanizm podzielonej płatności",
4917,,"Obowiązkowy mechanizm podzielonej płatności",
5027,,"Obowiązkowy mechanizm podzielonej płatności",
5428,,"Obowiązkowy mechanizm podzielonej płatności",
5431,,"Obowiązkowy mechanizm podzielonej płatności",
5433,,"Obowiązkowy mechanizm podzielonej płatności",
5437,,"Obowiązkowy mechanizm podzielonej płatności",
5439,,"Obowiązkowy mechanizm podzielonej płatności",
5445,,"Obowiązkowy mechanizm podzielonej płatności",
5473,,"Obowiązkowy mechanizm podzielonej płatności",
5474,,"Obowiązkowy mechanizm podzielonej płatności",
5533,,"Obowiązkowy mechanizm podzielonej płatności",
5548,,"Obowiązkowy mechanizm podzielonej płatności",
5550,,"Obowiązkowy mechanizm podzielonej płatności",
5552,,"Obowiązkowy mechanizm podzielonej płatności",
5554,,"Obowiązkowy mechanizm podzielonej płatności",
5610,,"Obowiązkowy mechanizm podzielonej płatności",
5619,,"Obowiązkowy mechanizm podzielonej płatności",
5646,,"Obowiązkowy mechanizm podzielonej płatności",
5653,,"Obowiązkowy mechanizm podzielonej płatności",
5660,,"Obowiązkowy mechanizm podzielonej płatności",
5672,,"Obowiązkowy mechanizm podzielonej płatności",
5674,,"Obowiązkowy mechanizm podzielonej płatności",
5676,,"Obowiązkowy mechanizm podzielonej płatności",
5678,,"Obowiązkowy mechanizm podzielonej płatności",
5689,,"Obowiązkowy mechanizm podzielonej płatności",
5691,,"Obowiązkowy mechanizm podzielonej płatności",
5693,,"Obowiązkowy mechanizm podzielonej płatności",
5701,,"Obowiązkowy mechanizm podzielonej płatności",
5712,,"Obowiązkowy mechanizm podzielonej płatności",
5714,,"Obowiązkowy mechanizm podzielonej płatności",
5716,,"Obowiązkowy mechanizm podzielonej płatności",
5722,,"Obowiązkowy mechanizm podzielonej płatności",
5726,,"Obowiązkowy mechanizm podzielonej płatności",
5728,,"Obowiązkowy mechanizm podzielonej płatności",
5732,,"Obowiązkowy mechanizm podzielonej płatności",
5737,,"Obowiązkowy mechanizm podzielonej płatności",
5738,,"Obowiązkowy mechanizm podzielonej płatności",
5742,,"Obowiązkowy mechanizm podzielonej płatności",
5744,,"Obowiązkowy mechanizm podzielonej płatności",
5747,,"Obowiązkowy mechanizm podzielonej płatności",
5751,,"Obowiązkowy mechanizm podzielonej płatności",
5753,,"Obowiązkowy mechanizm podzielonej płatności",
5755,,"Obowiązkowy mechanizm podzielonej płatności",
5760,,"Obowiązkowy mechanizm podzielonej płatności",
5764,,"Obowiązkowy mechanizm podzielonej płatności",
5768,,"Obowiązkowy mechanizm podzielonej płatności",
5771,,"Obowiązkowy mechanizm podzielonej płatności",
5773,,"Obowiązkowy mechanizm podzielonej płatności",
5777,,"Obowiązkowy mechanizm podzielonej płatności",
5780,,"Obowiązkowy mechanizm podzielonej płatności",
5784,,"Obowiązkowy mechanizm podzielonej płatności",
5786,,"Obowiązkowy mechanizm podzielonej płatności",
5791,,"Obowiązkowy mechanizm podzielonej płatności",
5793,,"Obowiązkowy mechanizm podzielonej płatności",
5797,,"Obowiązkowy mechanizm podzielonej płatności",
5800,,"Obowiązkowy mechanizm podzielonej płatności",
5803,,"Obowiązkowy mechanizm podzielonej płatności",
5806,,"Obowiązkowy mechanizm podzielonej płatności",
5809,,"Obowiązkowy mechanizm podzielonej płatności",
5812,,"Obowiązkowy mechanizm podzielonej płatności",
5815,,"Obowiązkowy mechanizm podzielonej płatności",
5818,,"Obowiązkowy mechanizm podzielonej płatności",
5891,,"Obowiązkowy mechanizm podzielonej płatności",
5900,,"Obowiązkowy mechanizm podzielonej płatności",
5905,,"Obowiązkowy mechanizm podzielonej płatności",
5916,,"Obowiązkowy mechanizm podzielonej płatności",
5919,,"Obowiązkowy mechanizm podzielonej płatności",
5922,,"Obowiązkowy mechanizm podzielonej płatności",
6944,,"Obowiązkowy mechanizm podzielonej płatności",
6955,,"Obowiązkowy mechanizm podzielonej płatności",
6983,,"Obowiązkowy mechanizm podzielonej płatności",
16987,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,""wyłącznie:  1) proszek srebra, 2) srebro techniczne czyste, 3) srebro o wysokiej czystości,"
16988,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16989,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16990,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16992,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,"wyłącznie: 1) proszek złota, 2) złoto technicznie czyste, 3) złoto o wysokiej czystości, 4) złoto (także pokryte platyną), w postaci półproduktu, z wyłączeniem złota (także pokrytego platyną) w postaci folii ze złota i stopów złota (także pokrytych platyną) i półproduktów ze złota lub ze stopów złota innych niż w postaci blach, taśm, pasów, drutów, prętów, rur, 5) stopy złota;"
16993,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16994,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16995,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16996,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16997,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16998,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
16999,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17000,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,""Platyna, w stanie surowym lub półproduktu, lub w postaci proszku – wyłącznie: 1) proszek platyny, 2) proszek palladu, 3) proszek irydu, 4) proszek rodu, 5) platyna technicznie czysta, 6) pallad technicznie czysty, 7) iryd technicznie czysty, 8) rod technicznie czysty, 9) platyna o wysokiej czystości, 10) pallad o wysokiej czystości, 11) iryd o wysokiej czystości, 12) rod o wysokiej czystości, 13) platyna w postaci półproduktu, z wyłączeniem platyny w postaci folii z platyny, palladu, irydu, osmu, rodu i rutenu i ze stopów tych metali, oraz półproduktów z tych metali i ich stopów innych niż w postaci blach, taśm, pasów, drutów, prętów, rur, 14) stopy platyny, 15) stopy palladu, 16) stopy irydu;"
17001,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17002,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17003,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17004,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17005,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17006,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17007,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17008,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17009,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17010,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17012,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,"Odpady i złom metali szlachetnych lub metali platerowanych metalami szlachetnymi; pozostałe odpady i złom zawierające metale szlachetne lub związki metali szlachetnych, w rodzaju stosowanych zasadniczo do odzyskiwania metali szlachetnych, inne niż towary objęte pozycją 8549 – wyłącznie: 1) złom złota, 2) odpady srebra, 3) złom srebra, 4) złom platyny, 5) złom palladu, 6) złom irydu;"
17013,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17014,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17015,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17016,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17017,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17018,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17019,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17020,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17021,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,"– Artykuły jubilerskie ze złota lub srebra oraz ich części, z metalu szlachetnego lub metalu platerowanego metalem szlachetnym – z wyłączeniem: 1) dewocjonaliów wykonanych z metali innych niż szlachetne, 2) wyrobów kultu religijnego;"
17022,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17023,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17024,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17037,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17038,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
17039,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,
20103,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,""W rodzaju stosowanych do odzyskiwania metali  szlachetnych – – Zawierające ogniwa galwaniczne, baterie galwaniczne, akumulatory elektryczne, przełączniki rtęciowe, szkło z lamp elektronopromieniowych lub inne szkło aktywowane, lub elementy elektryczne lub elektroniczne, zawierające kadm, rtęć, ołów lub polichlorowane bifenyle (PCB) – wyłącznie: 1) złom złota, 2) odpady srebra, 3) złom srebra, 4) złom platyny, 5) złom palladu, 6) złom irydu;"
20104,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,"wyłącznie: 1) złom złota, 2) odpady srebra, 3) złom srebra, 4) złom platyny, 5) złom palladu, 6) złom irydu;"
21213,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,""Materiały do rzeźbienia pochodzenia roślinnego lub mineralnego, obrobione oraz artykuły z takich materiałów; formowane lub rzeźbione artykuły z wosku, stearyny, gum i żywic naturalnych lub mas modelarskich, oraz pozostałe artykuły formowane lub rzeźbione, gdzie indziej niewymienione, ani niewłączone; obrobiona, nieutwardzona żelatyna (z wyjątkiem żelatyny objętej pozycją 3503) oraz artykuły z nieutwardzonej żelatyny – wyłącznie wyroby z bursztynu""
21326,"Wyklucza skorzystanie ze zwolnienia dla małych podatników",,"Antyki o wieku przekraczającym 100 lat – wyłącznie biżuteria artystyczna"
