ID_kod,PKWiU2015,Kody_CN
254,01.25.39.0,"0802 99 90"
255,01.25.90.0,"0810 70 00"
256,01.25.90.0,"0810 90 75"
257,01.25.90.0,"1212 92 00"
258,01.25.90.0,"1212 99 41"
259,01.26.11.0,"0709 92 10"
260,01.26.12.0,"0709 92 90"
261,01.26.20.0,"0801 11 00"
262,01.26.20.0,"0801 12 00"
263,01.26.20.0,"0801 19 00"
264,01.26.90.0,"1203 00 00"
265,01.26.90.0,"1207 99 96"
266,01.27.11.0,"0901 11 00"
267,01.27.12.0,"0902 20 00"
268,01.27.12.0,"0902 40 00"
269,01.27.13.0,"0903 00 00"
270,01.27.14.0,"1801 00 00"
271,01.28.11.0,"0904 11 00"
272,01.28.12.0,"0904 21 10"
273,01.28.12.0,"0904 21 90"
274,01.28.13.0,"0908 11 00"
275,01.28.13.0,"0908 21 00"
276,01.28.13.0,"0908 31 00"
277,01.28.14.0,"0909 21 00"
278,01.28.14.0,"0909 31 00"
279,01.28.14.0,"0909 61 00"
280,01.28.15.0,"0906 11 00"
281,01.28.15.0,"0906 19 00"
282,01.28.16.0,"0907 10 00"
283,01.28.17.0,"0910 11 00"
284,01.28.18.0,"0905 10 00"
285,01.28.19.0,"0904 21 90"
286,01.28.19.0,"0910 20 10"
287,01.28.19.0,"0910 30 00"
288,01.28.19.0,"0910 91 05"
289,01.28.19.0,"0910 91 10"
290,01.28.19.0,"0910 99 10"
291,01.28.19.0,"0910 99 31"
292,01.28.19.0,"0910 99 33"
293,01.28.19.0,"0910 99 50"
294,01.28.19.0,"0910 99 91"
295,01.28.19.0,"1212 94 00"
296,01.28.19.0,"1212 99 95"
297,01.28.20.0,"1210 10 00"
298,01.28.20.0,"1210 20 10"
299,01.28.20.0,"1210 20 90"
300,01.28.30.0,"1211 20 00"
301,01.28.30.0,"1211 30 00"
302,01.28.30.0,"1211 40 00"
303,01.28.30.0,"1211 50 00"
304,01.28.30.0,"1211 60 00"
305,01.28.30.0,"1211 90 30"
306,01.28.30.0,"1211 90 86"
307,01.29.10.0,"4001 10 00"
308,01.29.10.0,"4001 21 00"
309,01.29.10.0,"4001 22 00"
310,01.29.10.0,"4001 29 00"
311,01.29.20.0,"0604 20 20"
312,01.29.30.0,"1401 10 00"
313,01.29.30.0,"1401 20 00"
314,01.29.30.0,"1401 90 00"
315,01.29.30.0,"1404 90 00"
316,01.30.10.0,"0601 10 10"
317,01.30.10.0,"0601 10 20"
318,01.30.10.0,"0601 10 30"
319,01.30.10.0,"0601 10 40"
320,01.30.10.0,"0601 10 90"
321,01.30.10.0,"0601 20 10"
322,01.30.10.0,"0601 20 30"
323,01.30.10.0,"0601 20 90"
324,01.30.10.0,"0602 10 10"
325,01.30.10.0,"0602 10 90"
326,01.30.10.0,"0602 20 10"
327,01.30.10.0,"0602 20 20"
328,01.30.10.0,"0602 20 30"
329,01.30.10.0,"0602 20 80"
330,01.30.10.0,"0602 30 00"
331,01.30.10.0,"0602 40 00"
332,01.30.10.0,"0602 90 10"
333,01.30.10.0,"0602 90 20"
334,01.30.10.0,"0602 90 30"
335,01.30.10.0,"0602 90 45"
336,01.30.10.0,"0602 90 46"
337,01.30.10.0,"0602 90 47"
338,01.30.10.0,"0602 90 48"
339,01.30.10.0,"0602 90 50"
340,01.30.10.0,"0602 90 70"
341,01.30.10.0,"0602 90 91"
342,01.30.10.0,"0602 90 99"
343,01.41.10.0,"0102 21 10"
344,01.41.10.0,"0102 21 30"
345,01.41.10.0,"0102 29 51"
346,01.41.10.0,"0102 29 59"
347,01.41.10.0,"0102 29 61"
348,01.41.10.0,"0102 29 69"
349,01.41.20.0,"0401 10 90"
350,01.41.20.0,"0401 20 19"
351,01.41.20.0,"0401 20 99"
352,01.42.11.0,"0102 21 90"
353,01.42.11.0,"0102 29 05"
354,01.42.11.0,"0102 29 91"
355,01.42.11.0,"0102 29 99"
356,01.42.11.0,"0102 31 00"
357,01.42.11.0,"0102 39 10"
358,01.42.11.0,"0102 39 90"
359,01.42.11.0,"0102 90 20"
360,01.42.11.0,"0102 90 91"
361,01.42.11.0,"0102 90 99"
362,01.42.12.0,"0102 29 10"
363,01.42.12.0,"0102 29 21"
364,01.42.12.0,"0102 29 29"
365,01.42.12.0,"0102 29 41"
366,01.42.12.0,"0102 29 49"
367,01.42.20.0,"0511 10 00"
368,01.43.11.0,"0101 21 00"
369,01.43.11.0,"0101 29 10"
370,01.43.11.0,"0101 29 90"
371,01.43.11.0,"0511 99 85"
372,01.43.12.0,"0101 30 00"
373,01.43.12.0,"0101 90 00"
374,01.43.12.0,"0511 99 85"
375,01.44.10.0,"0106 13 00"
376,01.44.10.0,"0511 99 85"
377,01.45.11.0,"0104 10 10"
378,01.45.11.0,"0104 10 30"
379,01.45.11.0,"0104 10 80"
380,01.45.11.0,"0511 99 85"
381,01.45.12.0,"0104 20 10"
382,01.45.12.0,"0104 20 90"
383,01.45.12.0,"0511 99 85"
384,01.45.21.0,"0401 10 90"
385,01.45.21.0,"0401 20 19"
386,01.45.21.0,"0401 20 99"
387,01.45.22.0,"0401 10 90"
388,01.45.22.0,"0401 20 19"
389,01.45.22.0,"0401 20 99"
390,01.45.30.0,"5101 11 00"
391,01.46.10.0,"0103 10 00"
392,01.46.10.0,"0103 91 10"
393,01.46.10.0,"0103 91 90"
394,01.46.10.0,"0103 92 11"
395,01.46.10.0,"0103 92 19"
396,01.46.10.0,"0103 92 90"
397,01.46.10.0,"0511 99 85"
398,01.47.11.0,"0105 11 11"
399,01.47.11.0,"0105 11 19"
400,01.47.11.0,"0105 11 91"
401,01.47.11.0,"0105 11 99"
402,01.47.11.0,"0105 94 00"
403,01.47.12.0,"0105 12 00"
404,01.47.12.0,"0105 99 30"
405,01.47.13.0,"0105 14 00"
406,01.47.13.0,"0105 99 20"
407,01.47.14.0,"0105 13 00"
408,01.47.14.0,"0105 15 00"
409,01.47.14.0,"0105 99 10"
410,01.47.14.0,"0105 99 50"
411,01.47.21.0,"0407 21 00"
412,01.47.22.0,"0407 29 10"
413,01.47.23.0,"0407 11 00"
414,01.47.24.0,"0407 19 11"
415,01.47.24.0,"0407 19 19"
416,01.49.11.0,"0106 14 10"
417,01.49.12.1,"0106 33 00"
418,01.49.12.9,"0106 31 00"
419,01.49.12.9,"0106 32 00"
420,01.49.12.9,"0106 33 00"
421,01.49.12.9,"0106 39 10"
422,01.49.12.9,"0106 39 80"
423,01.49.13.0,"0106 20 00"
424,01.49.19.0,"0106 11 00"
425,01.49.19.0,"0106 14 90"
426,01.49.19.0,"0106 19 00"
427,01.49.19.0,"0106 41 00"
428,01.49.19.0,"0106 49 00"
429,01.49.19.0,"0106 90 00"
430,01.49.21.0,"0409 00 00"
431,01.49.22.0,"0401 10 90"
432,01.49.22.0,"0401 20 19"
433,01.49.22.0,"0401 20 99"
434,01.49.22.0,"0401 40 90"
435,01.49.22.0,"0401 50 19"
436,01.49.23.0,"0307 60 00"
437,01.49.24.0,"0407 19 90"
438,01.49.24.0,"0407 29 90"
439,01.49.24.0,"0410 90 00"
440,01.49.25.0,"5001 00 00"
441,01.49.26.0,"1521 90 10"
442,01.49.26.0,"1521 90 91"
443,01.49.26.0,"1521 90 99"
444,01.49.27.0,"0511 99 85"
445,01.49.28.0,"5102 11 00"
446,01.49.28.0,"5102 19 10"
447,01.49.28.0,"5102 19 30"
448,01.49.28.0,"5102 19 40"
449,01.49.28.0,"5102 19 90"
450,01.49.28.0,"5102 20 00"
451,01.49.31.0,"4301 10 00"
452,01.49.31.0,"4301 60 00"
453,01.49.31.0,"4301 80 00"
454,01.49.31.0,"4301 90 00"
455,01.49.32.0,"4301 30 00"
456,01.49.39.0,"4103 20 00"
457,01.49.39.0,"4103 30 00"
458,01.49.39.0,"4103 90 00"
459,02.10.11.0,"0602 10 90"
460,02.10.11.0,"0602 90 45"
461,02.10.12.0,"1209 99 10"
462,02.10.30.0,"0602 90 41"
463,02.20.11.0,"4403 21 10"
464,02.20.11.0,"4403 21 90"
465,02.20.11.0,"4403 22 00"
466,02.20.11.0,"4403 23 10"
467,02.20.11.0,"4403 23 90"
468,02.20.11.0,"4403 24 00"
469,02.20.11.0,"4403 25 10"
470,02.20.11.0,"4403 25 90"
471,02.20.11.0,"4403 26 00"
472,02.20.12.0,"4403 91 00"
473,02.20.12.0,"4403 93 00"
474,02.20.12.0,"4403 94 00"
475,02.20.12.0,"4403 95 10"
476,02.20.12.0,"4403 95 90"
477,02.20.12.0,"4403 96 00"
478,02.20.12.0,"4403 97 00"
479,02.20.12.0,"4403 98 00"
480,02.20.12.0,"4403 99 00"
481,02.20.13.0,"4403 41 00"
482,02.20.13.0,"4403 42 00"
483,02.20.13.0,"4403 49 10"
484,02.20.13.0,"4403 49 35"
485,02.20.13.0,"4403 49 85"
486,02.20.14.0,"4401 11 00"
487,02.20.15.0,"4401 12 00"
488,02.30.11.0,"4001 30 00"
489,02.30.12.0,"1301 20 00"
490,02.30.12.0,"1301 90 00"
491,02.30.20.0,"4501 10 00"
492,02.30.30.0,"0604 20 11"
493,02.30.30.0,"0604 20 19"
494,02.30.30.0,"0604 20 40"
495,02.30.30.0,"0604 20 90"
496,02.30.30.0,"0604 90 11"
497,02.30.30.0,"0604 90 19"
498,02.30.30.0,"0604 90 91"
499,02.30.30.0,"0604 90 99"
500,02.30.30.0,"1404 90 00"
501,02.30.40.0,"0703 90 00"
502,02.30.40.0,"0709 51 00"
503,02.30.40.0,"0809 40 05"
504,02.30.40.0,"0809 40 90"
505,02.30.40.0,"0810 10 00"
506,02.30.40.0,"0810 20 10"
507,02.30.40.0,"0810 20 90"
508,02.30.40.0,"0810 30 10"
509,02.30.40.0,"0810 30 30"
510,02.30.40.0,"0810 30 90"
511,02.30.40.0,"0810 40 10"
512,02.30.40.0,"0810 40 30"
513,02.30.40.0,"0810 40 50"
514,02.30.40.0,"0810 40 90"
515,02.30.40.0,"0810 90 20"
516,02.30.40.0,"0810 90 75"
517,02.30.40.0,"0910 99 10"
518,02.30.40.0,"0910 99 31"
519,02.30.40.0,"0910 99 33"
520,02.30.40.0,"0910 99 50"
521,02.30.40.0,"0910 99 91"
522,02.30.40.0,"1212 94 00"
523,02.30.40.0,"1212 99 95"
524,03.00.11.0,"0301 11 00"
525,03.00.11.0,"0301 19 00"
526,03.00.12.0,"0301 11 00"
527,03.00.12.0,"0301 19 00"
528,03.00.13.0,"0301 91 10"
529,03.00.13.0,"0301 91 90"
530,03.00.13.0,"0301 92 10"
531,03.00.13.0,"0301 92 30"
532,03.00.13.0,"0301 92 90"
533,03.00.13.0,"0301 93 00"
534,03.00.13.0,"0301 94 10"
535,03.00.13.0,"0301 94 90"
536,03.00.13.0,"0301 95 00"
537,03.00.13.0,"0301 99 11"
538,03.00.13.0,"0301 99 17"
539,03.00.13.0,"0301 99 85"
540,03.00.13.0,"0302 11 10"
541,03.00.13.0,"0302 11 20"
542,03.00.13.0,"0302 11 80"
543,03.00.13.0,"0302 13 00"
544,03.00.13.0,"0302 14 00"
545,03.00.13.0,"0302 19 00"
546,03.00.13.0,"0302 21 10"
547,03.00.13.0,"0302 21 30"
548,03.00.13.0,"0302 21 90"
549,03.00.13.0,"0302 22 00"
550,03.00.13.0,"0302 23 00"
551,03.00.13.0,"0302 24 00"
552,03.00.13.0,"0302 29 10"
553,03.00.13.0,"0302 29 80"
554,03.00.13.0,"0302 31 10"
555,03.00.13.0,"0302 31 90"
556,03.00.13.0,"0302 32 10"
557,03.00.13.0,"0302 32 90"
558,03.00.13.0,"0302 33 10"
559,03.00.13.0,"0302 33 90"
560,03.00.13.0,"0302 34 10"
561,03.00.13.0,"0302 34 90"
562,03.00.13.0,"0302 35 11"
563,03.00.13.0,"0302 35 19"
564,03.00.13.0,"0302 35 91"
565,03.00.13.0,"0302 35 99"
566,03.00.13.0,"0302 36 10"
567,03.00.13.0,"0302 36 90"
568,03.00.13.0,"0302 39 20"
569,03.00.13.0,"0302 39 80"
570,03.00.13.0,"0302 42 00"
571,03.00.13.0,"0302 45 90"
572,03.00.13.0,"0302 46 00"
573,03.00.13.0,"0302 51 10"
574,03.00.13.0,"0302 51 90"
575,03.00.13.0,"0302 52 00"
576,03.00.13.0,"0302 53 00"
577,03.00.13.0,"0302 54 11"
578,03.00.13.0,"0302 54 15"
579,03.00.13.0,"0302 54 19"
580,03.00.13.0,"0302 54 90"
581,03.00.13.0,"0302 55 00"
582,03.00.13.0,"0302 56 00"
583,03.00.13.0,"0302 59 10"
584,03.00.13.0,"0302 59 20"
585,03.00.13.0,"0302 59 30"
586,03.00.13.0,"0302 59 40"
587,03.00.13.0,"0302 59 90"
588,03.00.13.0,"0302 71 00"
589,03.00.13.0,"0302 72 00"
590,03.00.13.0,"0302 73 00"
591,03.00.13.0,"0302 74 00"
592,03.00.13.0,"0302 79 00"
593,03.00.13.0,"0302 81 15"
594,03.00.13.0,"0302 81 30"
595,03.00.13.0,"0302 81 40"
596,03.00.13.0,"0302 81 80"
597,03.00.13.0,"0302 82 00"
598,03.00.13.0,"0302 83 00"
599,03.00.13.0,"0302 84 10"
600,03.00.13.0,"0302 84 90"
601,03.00.13.0,"0302 85 10"
602,03.00.13.0,"0302 85 30"
603,03.00.13.0,"0302 85 90"
604,03.00.13.0,"0302 89 10"
605,03.00.13.0,"0302 89 21"
606,03.00.13.0,"0302 89 29"
607,03.00.13.0,"0302 89 31"
608,03.00.13.0,"0302 89 39"
609,03.00.13.0,"0302 89 40"
610,03.00.13.0,"0302 89 50"
611,03.00.13.0,"0302 89 60"
612,03.00.13.0,"0302 89 90"
613,03.00.14.0,"0301 91 10"
614,03.00.14.0,"0301 91 90"
615,03.00.14.0,"0301 92 10"
616,03.00.14.0,"0301 92 30"
617,03.00.14.0,"0301 92 90"
618,03.00.14.0,"0301 93 00"
619,03.00.14.0,"0301 94 10"
620,03.00.14.0,"0301 94 90"
621,03.00.14.0,"0301 95 00"
622,03.00.14.0,"0301 99 11"
623,03.00.14.0,"0301 99 17"
624,03.00.14.0,"0301 99 85"
625,03.00.14.0,"0302 11 10"
626,03.00.14.0,"0302 11 20"
627,03.00.14.0,"0302 11 80"
628,03.00.14.0,"0302 13 00"
629,03.00.14.0,"0302 14 00"
630,03.00.14.0,"0302 19 00"
631,03.00.14.0,"0302 21 10"
632,03.00.14.0,"0302 21 30"
633,03.00.14.0,"0302 21 90"
634,03.00.14.0,"0302 22 00"
635,03.00.14.0,"0302 23 00"
636,03.00.14.0,"0302 24 00"
637,03.00.14.0,"0302 29 10"
638,03.00.14.0,"0302 29 80"
639,03.00.14.0,"0302 32 10"
640,03.00.14.0,"0302 32 90"
641,03.00.14.0,"0302 35 11"
642,03.00.14.0,"0302 35 19"
643,03.00.14.0,"0302 35 91"
644,03.00.14.0,"0302 35 99"
645,03.00.14.0,"0302 36 10"
646,03.00.14.0,"0302 36 90"
647,03.00.14.0,"0302 39 20"
648,03.00.14.0,"0302 39 80"
649,03.00.14.0,"0302 46 00"
650,03.00.14.0,"0302 51 10"
651,03.00.14.0,"0302 54 19"
652,03.00.14.0,"0302 54 90"
653,03.00.14.0,"0302 59 30"
654,03.00.14.0,"0302 59 90"
655,03.00.14.0,"0302 71 00"
656,03.00.14.0,"0302 72 00"
657,03.00.14.0,"0302 73 00"
658,03.00.14.0,"0302 74 00"
659,03.00.14.0,"0302 79 00"
660,03.00.14.0,"0302 82 00"
661,03.00.14.0,"0302 83 00"
662,03.00.14.0,"0302 84 10"
663,03.00.14.0,"0302 84 90"
664,03.00.14.0,"0302 85 10"
665,03.00.14.0,"0302 85 30"
666,03.00.14.0,"0302 85 90"
667,03.00.14.0,"0302 89 10"
668,03.00.14.0,"0302 89 21"
669,03.00.14.0,"0302 89 29"
670,03.00.14.0,"0302 89 39"
671,03.00.14.0,"0302 89 40"
672,03.00.14.0,"0302 89 50"
673,03.00.14.0,"0302 89 90"
674,03.00.21.0,"0301 91 10"
675,03.00.21.0,"0301 91 90"
676,03.00.21.0,"0301 94 10"
677,03.00.21.0,"0301 94 90"
678,03.00.21.0,"0301 95 00"
679,03.00.21.0,"0301 99 85"
680,03.00.21.0,"0302 11 10"
681,03.00.21.0,"0302 11 20"
682,03.00.21.0,"0302 11 80"
683,03.00.21.0,"0302 13 00"
684,03.00.21.0,"0302 14 00"
685,03.00.21.0,"0302 19 00"
686,03.00.21.0,"0302 21 10"
687,03.00.21.0,"0302 21 30"
688,03.00.21.0,"0302 21 90"
689,03.00.21.0,"0302 22 00"
690,03.00.21.0,"0302 23 00"
691,03.00.21.0,"0302 24 00"
692,03.00.21.0,"0302 29 10"
693,03.00.21.0,"0302 29 80"
694,03.00.21.0,"0302 31 10"
695,03.00.21.0,"0302 31 90"
696,03.00.21.0,"0302 32 10"
697,03.00.21.0,"0302 32 90"
698,03.00.21.0,"0302 33 10"
699,03.00.21.0,"0302 33 90"
700,03.00.21.0,"0302 34 10"
701,03.00.21.0,"0302 34 90"
702,03.00.21.0,"0302 35 11"
703,03.00.21.0,"0302 35 19"
704,03.00.21.0,"0302 35 91"
705,03.00.21.0,"0302 35 99"
706,03.00.21.0,"0302 36 10"
707,03.00.21.0,"0302 36 90"
708,03.00.21.0,"0302 39 20"
709,03.00.21.0,"0302 39 80"
710,03.00.21.0,"0302 41 00"
711,03.00.21.0,"0302 42 00"
712,03.00.21.0,"0302 43 10"
713,03.00.21.0,"0302 43 30"
714,03.00.21.0,"0302 43 90"
715,03.00.21.0,"0302 44 00"
716,03.00.21.0,"0302 45 10"
717,03.00.21.0,"0302 45 30"
718,03.00.21.0,"0302 45 90"
719,03.00.21.0,"0302 46 00"
720,03.00.21.0,"0302 47 00"
721,03.00.21.0,"0302 49 11"
722,03.00.21.0,"0302 49 19"
723,03.00.21.0,"0302 49 90"
724,03.00.21.0,"0302 51 10"
725,03.00.21.0,"0302 51 90"
726,03.00.21.0,"0302 52 00"
727,03.00.21.0,"0302 53 00"
728,03.00.21.0,"0302 54 11"
729,03.00.21.0,"0302 54 15"
730,03.00.21.0,"0302 54 19"
731,03.00.21.0,"0302 54 90"
732,03.00.21.0,"0302 55 00"
733,03.00.21.0,"0302 56 00"
734,03.00.21.0,"0302 59 10"
