ID_psi,Zwolnienie
5452,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5453,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5454,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5455,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5456,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5457,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5458,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5459,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5460,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5461,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5462,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5463,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5466,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5467,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5472,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5473,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5479,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5480,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5481,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5482,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5483,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5484,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5485,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5486,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5487,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5488,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5489,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5490,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5491,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5492,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5493,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5494,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5495,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5496,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5497,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5501,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5502,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5503,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5504,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5505,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5506,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5507,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5508,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5509,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5510,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5513,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5514,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5515,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5516,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5517,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5559,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5560,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5561,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5562,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5563,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5564,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5565,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5566,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5567,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5568,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5569,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5570,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5571,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5572,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5573,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5574,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5575,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5576,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5577,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5578,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5579,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5580,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5581,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5583,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5584,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5585,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5586,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5587,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5588,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5589,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5590,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5591,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5592,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5593,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5594,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5595,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5596,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5597,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5598,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5599,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5600,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5601,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5602,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5603,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5604,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5605,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5606,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5607,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5608,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5609,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5610,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5611,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5612,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5613,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5614,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5615,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5616,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5617,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5618,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5619,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5620,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5621,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5622,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5623,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5624,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5625,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5626,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5627,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5628,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5629,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5630,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5631,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5632,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5633,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5634,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5635,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5636,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5637,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5638,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5639,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5640,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5641,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5642,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5643,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5644,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5645,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5646,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5647,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5648,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5649,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5650,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5651,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5652,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5653,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5654,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5655,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5656,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5657,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5658,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5659,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5660,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5661,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5662,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5663,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5664,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5665,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5666,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5667,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5668,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5669,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5670,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5671,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5672,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5673,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5674,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5675,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5676,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5677,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5678,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5679,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5680,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5681,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5682,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5683,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5684,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5685,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5686,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5687,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5688,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5689,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5690,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5691,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5692,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5693,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5694,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5695,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5696,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5697,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5698,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5699,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5700,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5701,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5702,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5703,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5704,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5705,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5706,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5707,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5708,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5709,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5710,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5711,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5712,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5713,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5714,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5715,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5716,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5717,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5718,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5719,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5720,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5721,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5722,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5723,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5724,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5725,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5726,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5727,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5728,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5729,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5730,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5731,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5732,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5733,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5734,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5735,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5736,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5737,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5738,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5739,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5740,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5741,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5742,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5743,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5744,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5745,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5746,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5747,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5748,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5749,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5750,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5751,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5752,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5753,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5754,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5755,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5756,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5758,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5759,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5760,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5761,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5762,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5763,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5764,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5765,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5766,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5767,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5768,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5769,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5770,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5771,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5772,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5773,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5774,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5775,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5776,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5777,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5778,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5779,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5780,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5781,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5782,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5783,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5784,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5785,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5786,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5787,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5788,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5789,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5790,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5791,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5792,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5793,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5794,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5795,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5796,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5797,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5798,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5799,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5800,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5802,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5803,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5804,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5805,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5806,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5807,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5808,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5809,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5810,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5811,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5812,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5813,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5814,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5815,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5816,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5817,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5818,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5819,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5821,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5822,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5823,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5824,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5825,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5826,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5827,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5828,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5829,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5830,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5831,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5832,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5833,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5834,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5835,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5836,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5837,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5838,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5839,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5840,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5841,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5842,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5843,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5844,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5845,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5846,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5847,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5848,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5849,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5850,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5851,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5852,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5853,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5854,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5855,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5856,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5857,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5858,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5859,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5860,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5861,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5862,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5863,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5864,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5865,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5866,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5867,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5868,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5869,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5870,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5871,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5872,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5873,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5874,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5875,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5876,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5877,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5878,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5879,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5880,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5881,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5882,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5883,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5884,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5885,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5886,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5887,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5888,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5889,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5890,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5891,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5892,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5893,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
