ID_kod,kod_CN,Nazwa,Sekcja,Dzial
8832,"0105 11 11","Pisklęta płci żeńskiej pochodzące z hodowli w drugim i trzecim pokoleniu ptactwa z gatunku Gallus domesticus, nioski, o masie <= 185 g",I,1
8833,"0105 11 19","Pisklęta płci żeńskiej pochodzące z hodowli w drugim i trzecim pokoleniu ptactwa z gatunku Gallus domesticus, o masie <= 185 g (z wył. niosek)",I,1
8834,"0105 11 91","Nioski ptactwa z gatunku Gallus domesticus, o masie <= 185 g (z wył. piskląt płci żeńskiej pochodzących z hodowli w drugim i trzecim pokoleniu)",I,1
8835,"0105 11 99","Ptactwo żywe z gatunku Gallus domesticus, o masie <= 185 g (z wył. piskląt płci żeńskiej pochodzących z hodowli w drugim i trzecim pokoleniu i niosek)",I,1
8836,"0105 12 00","Indyki domowe żywe, o masie <= 185 g",I,1
8837,"0105 13 00","Kaczki domowe, żywe, o masie <= 185 g",I,1
8838,"0105 14 00","Gęsi domowe, żywe, o masie <= 185 g",I,1
8839,"0105 15 00","Perliczki domowe, żywe, o masie <= 185 g",I,1
8840,"0105 94 00","Ptactwo żywe z gatunku Gallus domesticus, o masie > 185 g",I,1
8841,"0105 99","Kaczki, gęsi, indyki i perliczki, domowe, żywe, o masie > 185 g",I,1
8842,"0105 99 10","Kaczki domowe, żywe, o masie > 185 g",I,1
8843,"0105 99 20","Gęsi domowe, żywe, o masie >185 g",I,1
8844,"0105 99 30","Indyki domowe, żywe, o masie > 185 g",I,1
8845,"0105 99 50","Perliczki domowe, żywe, o masie > 185 g",I,1
8846,0106,"Zwierzęta żywe (z wył. koni, osłów, mułów, osłomułów, bydła, świń, owiec, kóz, drobiu, ryb, skorupiaków, mięczaków i pozostałych bezkręgowców wodnych oraz hodowli mikroorganizmów)",I,1
8847,"0106 11 00","Naczelne żywe",I,1
8848,"0106 12 00","Wieloryby, delfiny i morświny (ssaki z rzędu waleni); manaty i krowy morskie (ssaki z rzędu syren); foki, lwy morskie i morsy (ssaki z podrzędu płetwonogich)",I,1
8849,"0106 13 00","Wielbłądy i inne wielbłądowate (Camelidae)",I,1
8850,"0106 14","Króliki i zające, żywe",I,1
8851,"0106 14 10","Króliki domowe, żywe",I,1
8852,"0106 14 90","Króliki i zające, żywe (z wył. królików domowych)",I,1
8853,"0106 19 00","Ssaki żywe (z wył. naczelnych, wielorybów, delfinów i morświnów, manatów i krów morskich, fok, lwów morskich i morsów, wielbłądów i innych wielbłądowatych, królików i zajęcy, koni, osłów, mułów, osłomułów, bydła, świń, owiec i kóz)",I,1
8854,"0106 20 00","Gady żywe (np. węże, żółwie, aligatory, kajmany, iguany, gawiale i jaszczurki)",I,1
8855,"0106 31 00","Ptaki drapieżne żywe",I,1
8856,"0106 32 00","Papugowate (włączając papugi, papugi długoogonowe, ary i kakadu)",I,1
8857,"0106 33 00","Strusie, emu (Dromaius novaehollandiae), żywe",I,1
8858,"0106 39","Ptaki żywe (z wył. ptaków drapieżnych i papugowatych, papug, papug długoogonowych, ar i kakadu, strusi i emu)",I,1
8859,"0106 39 10","Gołębie żywe",I,1
8860,"0106 39 80","Ptaki żywe (z wył. ptaków drapieżnych i papugowatych, papug, papug długoogonowych, ar i kakadu, strusi , emu i gołębi)",I,1
8861,"0106 41 00","Pszczoły żywe",I,1
8862,"0106 49 00","Owady żywe (z wył. pszczół)",I,1
8863,"0106 90 00","Zwierzęta żywe (z wył. ssaków, gadów, ptaków, owadów, ryb, skorupiaków, mięczaków i pozostałych bezkręgowców wodnych oraz kultur mikroorganizmów)",I,1
8864,0201,"Mięso z bydła, świeże lub schłodzone",I,2
8865,"0201 10 00","Tusze i półtusze z bydła, świeże lub schłodzone",I,2
8866,"0201 20","Kawałki mięsa z bydła, z kośćmi, świeże lub schłodzone (z wył. tusz i półtusz)",I,2
8867,"0201 20 20","Ćwierci „kompensowane” z bydła, z kośćmi, świeże lub schłodzone",I,2
8868,"0201 20 30","Ćwierci przednie nierozdzielone lub rozdzielone, z bydła, z kośćmi, świeże lub schłodzone",I,2
8869,"0201 20 50","Ćwierci tylne nierozdzielone lub rozdzielone, z bydła, z kośćmi, świeże lub schłodzone",I,2
8870,"0201 20 90","Kawałki mięsa z bydła, z kośćmi, świeże lub schłodzone (z wył. tusz i półtusz, ćwierci „kompensowanych”, przednich i tylnych)",I,2
8871,"0201 30 00","Mięso z bydła bez kości, świeże lub schłodzone",I,2
8872,0202,"Mięso z bydła, zamrożone",I,2
8873,"0202 10 00","Tusze i półtusze, z bydła, zamrożone",I,2
8874,"0202 20","Kawałki mięsa z bydła, z kośćmi, zamrożone (z wył. tusz i półtusz)",I,2
8875,"0202 20 10","Ćwierci „kompensowane” z bydła, z kośćmi, zamrożone",I,2
8876,"0202 20 30","Ćwierci przednie nierozdzielone lub rozdzielone, z bydła, z kośćmi, zamrożone",I,2
8877,"0202 20 50","Ćwierci tylne nierozdzielone lub rozdzielone, z bydła, z kośćmi, zamrożone",I,2
8878,"0202 20 90","Kawałki mięsa z bydła, z kośćmi, zamrożone (z wył. tusz i półtusz, ćwierci „kompensowanych”, przednich i tylnych)",I,2
8879,"0202 30","Mięso z bydła bez kości, zamrożone",I,2
8880,"0202 30 10","Ćwierci z bydła, bez kości, przednie całe lub pokrojone na maksymalnie 5 części, a każda ćwiartka stanowi pojedynczy blok; ćwierci „kompensowane” w 2 blokach, z których jeden zawiera ćwierć przednią całą lub pokrojoną na maksymalnie pięć kawałków, a drugi ćwierć tylną, z wył. polędwicy, w jednym kawałku, zamrożone",I,2
8881,"0202 30 50","Kawałki mięsa z bydła, bez kości, określane jako „Crop, chuck and blade” i „brisket”, zamrożone",I,2
8882,"0202 30 90","Mięso z bydła, bez kości, (z wył. ćwierci przednich całych lub pokrojonych na maksymalnie 5 części, a każda ćwiartka stanowi pojedynczy blok; ćwierci „kompensowanych” w 2 blokach, z których jeden zawiera ćwierć przednią całą lub pokrojoną na maksymalnie 5 kawałków, a drugi ćwierć tylną, z wył. polędwicy, w jednym kawałku, elementów określanych jako „Crop, chuck and blade” i „brisket”), zamrożone",I,2
8883,0203,"Mięso ze świń, świeże, schłodzone lub zamrożone",I,2
8884,"0203 11","Tusze lub półtusze, ze świń, świeże lub schłodzone",I,2
8885,"0203 11 10","Tusze lub półtusze, ze świń domowych, świeże lub schłodzone",I,2
8886,"0203 11 90","Tusze lub półtusze, ze świń niedomowych, świeże lub schłodzone",I,2
8887,"0203 12","Szynki, łopatki i ich kawałki, ze świń, z kośćmi, świeże lub schłodzone",I,2
8888,"0203 12 11","Szynki i ich kawałki, ze świń domowych, z kośćmi, świeże lub schłodzone",I,2
8889,"0203 12 19","Łopatki i ich kawałki, ze świń domowych, z kośćmi, świeże lub schłodzone",I,2
8890,"0203 12 90","Szynki lub łopatki i ich kawałki, ze świń niedomowych, z kośćmi, świeże lub schłodzone",I,2
8891,"0203 19","Mięso ze świń, świeże lub schłodzone (z wył. tusz lub półtusz, szynek, łopatek i ich kawałków, z kośćmi)",I,2
8892,"0203 19 11","Przodki i ich kawałki, ze świń domowych, świeże lub schłodzone",I,2
8893,"0203 19 13","Schaby i ich kawałki, ze świń domowych, z kośćmi, świeże lub schłodzone",I,2
8894,"0203 19 15","Boczek i jego kawałki, ze świń domowych, świeże lub schłodzone",I,2
8895,"0203 19 55","Mięso ze świń domowych, bez kości (z wył. boczku i jego kawałków), świeże lub schłodzone",I,2
8896,"0203 19 59","Mięso ze świń domowych, z kośćmi, świeże lub schłodzone (z wył. tusz lub półtusz, szynek, łopatek i ich kawałków, przodków, schabów, boczku i ich kawałków)",I,2
8897,"0203 19 90","Mięso ze świń niedomowych, świeże lub schłodzone (z wył. tusz lub półtusz, szynek, łopatek i ich kawałków z kością)",I,2
8898,"0203 21","Tusze i półtusze, ze świń, zamrożone",I,2
8899,"0203 21 10","Tusze lub półtusze, ze świń domowych, zamrożone",I,2
8900,"0203 21 90","Tusze lub półtusze, ze świń niedomowych, zamrożone",I,2
8901,"0203 22","Szynki, łopatki i ich kawałki, ze świń, z kośćmi, zamrożone",I,2
8902,"0203 22 11","Szynki i ich kawałki, ze świń domowych, z kośćmi, zamrożone",I,2
8903,"0203 22 19","Łopatki i ich kawałki, ze świń domowych, z kośćmi, zamrożone",I,2
8904,"0203 22 90","Szynki lub łopatki i ich kawałki, ze świń niedomowych, z kośćmi, zamrożone",I,2
8905,"0203 29","Mięso ze świń, zamrożone (z wył. tusz lub półtusz, szynek, łopatek i ich kawałków z kośćmi)",I,2
8906,"0203 29 11","Przodki i ich kawałki, ze świń domowych, zamrożone",I,2
8907,"0203 29 13","Schaby i ich kawałki, ze świń domowych, z kośćmi, zamrożone",I,2
8908,"0203 29 15","Boczek i jego kawałki, ze świń domowych, zamrożone",I,2
8909,"0203 29 55","Mięso ze świń domowych, bez kości (z wył. boczku i jego kawałków), zamrożone",I,2
8910,"0203 29 59","Mięso ze świń domowych, z kośćmi, zamrożone (z wył. tusz lub półtusz, szynek, łopatek i ich kawałków, przodków, schabów, boczku i ich kawałków)",I,2
8911,"0203 29 90","Mięso ze świń niedomowych, zamrożone (z wył. tusz lub półtusz, szynek, łopatek i ich kawałków z kośćmi)",I,2
8912,0204,"Mięso z owiec lub kóz, świeże, schłodzone lub zamrożone",I,2
8913,"0204 10 00","Tusze i półtusze z jagniąt, świeże lub schłodzone",I,2
8914,"0204 21 00","Tusze i półtusze z owiec (z wył. z jagniąt), świeże lub schłodzone",I,2
8915,"0204 22","Kawałki mięsa z owiec, z kośćmi (z wył. tusz i półtusz), świeże lub schłodzone",I,2
8916,"0204 22 10","Krótkie ćwierci przednie z owiec, świeże lub schłodzone",I,2
8917,"0204 22 30","Grzbiety i/lub środki z owiec, świeże lub schłodzone",I,2
8918,"0204 22 50","Nogi z owiec, świeże lub schłodzone",I,2
8919,"0204 22 90","Kawałki mięsa z owiec, z kośćmi (z wył. tusz i półtusz, krótkich ćwierci przednich, grzbietów i/lub środków, i nóg), świeże lub schłodzone",I,2
8920,"0204 23 00","Kawałki mięsa z owiec, bez kości, świeże lub schłodzone",I,2
8921,"0204 30 00","Tusze i półtusze z jagniąt, zamrożone",I,2
8922,"0204 41 00","Tusze i półtusze z owiec (z wył. z jagniąt), zamrożone",I,2
8923,"0204 42","Kawałki mięsa z owiec, z kośćmi (z wył. tusz i półtusz), zamrożone",I,2
8924,"0204 42 10","Krótkie ćwierci przednie z owiec, zamrożone",I,2
8925,"0204 42 30","Grzbiety i/lub środki z owiec, zamrożone",I,2
8926,"0204 42 50","Nogi z owiec, zamrożone",I,2
8927,"0204 42 90","Kawałki mięsa z owiec, z kośćmi (z wył. tusz i półtusz, krótkich ćwierci przednich, grzbietów i/lub środków, i nóg), zamrożone",I,2
8928,"0204 43","Kawałki mięsa z owiec, bez kości, zamrożone",I,2
8929,"0204 43 10","Mięso z jagniąt, bez kości, zamrożone",I,2
8930,"0204 43 90","Mięso z owiec (z wył. z jagniąt), bez kości, zamrożone",I,2
8931,"0204 50","Mięso z kóz, świeże, schłodzone lub zamrożone",I,2
8932,"0204 50 11","Tusze i półtusze z kóz, świeże lub schłodzone",I,2
8933,"0204 50 13","Krótkie ćwierci przednie z kóz, świeże lub schłodzone",I,2
8934,"0204 50 15","Grzbiety i/lub środki z kóz, świeże lub schłodzone",I,2
8935,"0204 50 19","Nogi z kóz, świeże lub schłodzone",I,2
8936,"0204 50 31","Kawałki mięsa z kóz, z kośćmi (z wył. tusz i półtusz, krótkich ćwierci przednich, grzbietów i/lub środków, i nóg), świeże lub schłodzone",I,2
8937,"0204 50 39","Kawałki mięsa z kóz, bez kości, świeże lub schłodzone",I,2
8938,"0204 50 51","Tusze i półtusze z kóz, zamrożone",I,2
8939,"0204 50 53","Krótkie ćwierci przednie z kóz, zamrożone",I,2
8940,"0204 50 55","Grzbiety i/lub środki z kóz, zamrożone",I,2
8941,"0204 50 59","Nogi z kóz, zamrożone",I,2
8942,"0204 50 71","Kawałki mięsa z kóz, z kośćmi (z wył. tusz i półtusz, krótkich ćwierci przednich, grzbietów i/lub środków, i nóg), zamrożone",I,2
8943,"0204 50 79","Kawałki mięsa z kóz, bez kości, zamrożone",I,2
8944,"0205 00","Mięso z koni, osłów, mułów lub osłomułów, świeże, schłodzone lub zamrożone",I,2
8945,"0205 00 20","Mięso z koni, osłów, mułów lub osłomułów, świeże lub schłodzone",I,2
8946,"0205 00 80","Mięso z koni, osłów, mułów lub osłomułów, zamrożone",I,2
8947,0206,"Podroby jadalne z bydła, świń, owiec, kóz, koni, osłów, mułów lub osłomułów, świeże, schłodzone lub zamrożone",I,2
8948,"0206 10","Podroby jadalne z bydła, świeże lub schłodzone",I,2
8949,"0206 10 10","Podroby jadalne z bydła do produkcji wyrobów farmaceutycznych, świeże lub schłodzone",I,2
8950,"0206 10 95","Przepona gruba i przepona cienka, z bydła (z wył. do produkcji wyrobów farmaceutycznych), jadalna, świeża lub schłodzona",I,2
8951,"0206 10 98","Podroby jadalne z bydła (z wył. do produkcji wyrobów farmaceutycznych, przepony grubej i przepony cienkiej) świeże lub schłodzone",I,2
8952,"0206 21 00","Ozory jadalne z bydła, zamrożone",I,2
8953,"0206 22 00","Wątroby jadalne z bydła, zamrożone",I,2
8954,"0206 29","Podroby jadalne z bydła (z wył. ozorów i wątroby), zamrożone",I,2
8955,"0206 29 10","Podroby jadalne z bydła (z wył. ozorów i wątroby), do produkcji wyrobów farmaceutycznych, zamrożone",I,2
8956,"0206 29 91","Przepona gruba i przepona cienka, z bydła (z wył. do produkcji wyrobów farmaceutycznych), jadalna, zamrożona",I,2
8957,"0206 29 99","Podroby jadalne z bydła (z wył. do produkcji wyrobów farmaceutycznych, ozorów, wątroby, przepony grubej i przepony cienkiej), zamrożone",I,2
8958,"0206 30 00","Podroby jadalne ze świń, świeże lub schłodzone",I,2
8959,"0206 41 00","Podroby jadalne ze świń, zamrożone",I,2
8960,"0206 49 00","Podroby jadalne ze świń (z wył. wątroby), zamrożone",I,2
8961,"0206 80","Podroby jadalne z owiec, kóz, koni, osłów, mułów lub osłomułów, świeże lub schłodzone",I,2
8962,"0206 80 10","Podroby jadalne z owiec, kóz, koni, osłów, mułów lub osłomułów, do produkcji wyrobów farmaceutycznych, świeże lub schłodzone",I,2
8963,"0206 80 91","Podroby jadalne z koni, osłów, mułów lub osłomułów, (z wył. do produkcji wyrobów farmaceutycznych), świeże lub schłodzone",I,2
8964,"0206 80 99","Podroby jadalne z owiec i kóz (z wył. do produkcji wyrobów farmaceutycznych), świeże lub schłodzone",I,2
8965,"0206 90","Podroby jadalne z owiec, kóz, koni, osłów, mułów lub osłomułów, zamrożone",I,2
8966,"0206 90 10","Podroby jadalne z owiec, kóz, koni, osłów, mułów lub osłomułów, do produkcji wyrobów farmaceutycznych, zamrożone",I,2
8967,"0206 90 91","Podroby jadalne z koni, osłów, mułów lub osłomułów (z wył. do produkcji wyrobów farmaceutycznych), zamrożone",I,2
8968,"0206 90 99","Podroby jadalne z owiec i kóz (z wył. do produkcji wyrobów farmaceutycznych), zamrożone",I,2
8969,0207,"Mięso i podroby jadalne, z ptactwa z gatunku Gallus domesticus, kaczek, gęsi, indyków i perliczek, świeże, schłodzone lub zamrożone",I,2
8970,"0207 11","Ptactwo z gatunku Gallus domesticus, niecięte na kawałki, świeże lub schłodzone",I,2
8971,"0207 11 10","Ptactwo z gatunku Gallus domesticus, oskubane i bez jelit, z głowami i łapkami, znane jako „kurczaki 83 %”, świeże lub schłodzone",I,2
8972,"0207 11 30","Ptactwo z gatunku Gallus domesticus, oskubane i wypatroszone, bez głów i łapek, ale z szyjami, sercami, wątróbkami i żołądkami, znane jako „kurczaki 70 %”, świeże lub schłodzone",I,2
8973,"0207 11 90","Ptactwo z gatunku Gallus domesticus, oskubane i wypatroszone, bez głów i łapek, szyj, serc, wątróbek i żołądków, znane jako „kurczaki 65 %”, świeże lub schłodzone, i pozostałe formy ptactwa świeżego lub schłodzonego, nieciętego na kawałki, (z wył. kurczaków 83% i 70%)",I,2
8974,"0207 12","Ptactwo z gatunku Gallus domesticus, niecięte na kawałki, zamrożone",I,2
8975,"0207 12 10","Ptactwo z gatunku Gallus domesticus, oskubane i wypatroszone, bez głów i łapek, ale z szyjami, sercami, wątróbkami i żołądkami, znane jako „kurczaki 70 %”, zamrożone",I,2
8976,"0207 12 90","Ptactwo z gatunku Gallus domesticus, oskubane i wypatroszone, bez głów i łapek, szyj, serc, wątróbek i żołądków, znane jako „kurczaki 65 %”, zamrożone, i pozostałe formy ptactwa zamrożonego, nieciętego na kawałki, (z wył. kurczaków 70%)",I,2
8977,"0207 13","Kawałki i podroby ptactwa z gatunku Gallus domesticus, świeże lub schłodzone",I,2
8978,"0207 13 10","Kawałki bez kości ptactwa z gatunku Gallus domesticus, świeże lub schłodzone",I,2
8979,"0207 13 20","Połówki lub ćwiartki ptactwa z gatunku Gallus domesticus, świeże lub schłodzone",I,2
8980,"0207 13 30","Skrzydła całe, nawet z końcami ptactwa z gatunku Gallus domesticus, świeże lub schłodzone",I,2
8981,"0207 13 40","Grzbiety, szyje, grzbiety włącznie z szyjami, kupry i końce skrzydeł ptactwa z gatunku Gallus domesticus, świeże lub schłodzone",I,2
8982,"0207 13 50","Piersi i ich kawałki ptactwa z gatunku Gallus domesticus, z kośćmi, świeże lub schłodzone",I,2
8983,"0207 13 60","Nogi i ich kawałki ptactwa z gatunku Gallus domesticus, z kośćmi, świeże lub schłodzone",I,2
8984,"0207 13 70","Kawałki z kośćmi ptactwa z gatunku Gallus domesticus, świeże lub schłodzone (z wył. połówek lub ćwiartek, całych skrzydeł, nawet z końcami, grzbietów, szyj, grzbietów włącznie z szyjami, kuprów i końców skrzydeł, piersi, nóg i ich kawałków)",I,2
8985,"0207 13 91","Wątróbki jadalne ptactwa z gatunku Gallus domesticus, świeże lub schłodzone",I,2
8986,"0207 13 99","Jadalne podroby (z wył. wątróbek) ptactwa z gatunku Gallus domesticus, świeże lub schłodzone",I,2
8987,"0207 14","Kawałki i podroby ptactwa z gatunku Gallus domesticus, zamrożone",I,2
8988,"0207 14 10","Kawałki bez kości ptactwa z gatunku Gallus domesticus, zamrożone",I,2
8989,"0207 14 20","Połówki lub ćwiartki ptactwa z gatunku Gallus domesticus, zamrożone",I,2
8990,"0207 14 30","Całe skrzydła, nawet z końcami, ptactwa z gatunku Gallus domesticus, zamrożone",I,2
8991,"0207 14 40","Grzbiety, szyje, grzbiety włącznie z szyjami, kupry i końce skrzydeł ptactwa z gatunku Gallus domesticus, zamrożone",I,2
8992,"0207 14 50","Piersi i ich kawałki ptactwa z gatunku Gallus domesticus, z kośćmi, zamrożone",I,2
8993,"0207 14 60","Nogi i ich kawałki ptactwa z gatunku Gallus domesticus, z kośćmi, zamrożone",I,2
8994,"0207 14 70","Kawałki z kośćmi ptactwa z gatunku Gallus domesticus, zamrożone (z wył. połówek lub ćwiartek, całych skrzydeł, nawet z końcami, grzbietów, szyj, grzbietów włącznie z szyjami, kuprów i końców skrzydeł, piersi, nóg i ich kawałków)",I,2
8995,"0207 14 91","Wątróbki jadalne ptactwa z gatunku Gallus domesticus, zamrożone",I,2
8996,"0207 14 99","Podroby jadalne (z wył. wątróbek) ptactwa z gatunku Gallus domesticus, zamrożone",I,2
8997,"0207 24","Indyki (z gatunków domowych), niecięte na kawałki, świeże lub schłodzone",I,2
8998,"0207 24 10","Indyki (z gatunków domowych), oskubane i wypatroszone, bez głów i łapek, ale z szyjami, sercami, wątróbkami i żołądkami, znane jako „indyki 80 %”, świeże lub schłodzone",I,2
8999,"0207 24 90","Indyki (z gatunków domowych), oskubane i wypatroszone, bez głów i łapek i bez szyj, serc, wątróbek i żołądków, znane jako „indyki 73 %” lub inaczej zgłaszanych nieciętych na kawałki (z wył. indyków 80%), świeże lub schłodzone",I,2
9000,"0207 25","Indyki (z gatunków domowych), niecięte na kawałki, zamrożone",I,2
9001,"0207 25 10","Indyki (z gatunków domowych), oskubane i wypatroszone, bez głów i łapek, ale z szyjami, sercami, wątróbkami i żołądkami, znane jako „indyki 80 %”, zamrożone",I,2
9002,"0207 25 90","Indyki (z gatunków domowych), oskubane i wypatroszone, bez głów i łapek i bez szyj, serc, wątróbek i żołądków, znane jako „indyki 73 %” lub pozostałe formy indyków nieciętych na kawałki (z wył. indyków 80%), zamrożone",I,2
9003,"0207 26","Kawałki i jadalne podroby z indyka (z gatunków domowych), świeże lub schłodzone",I,2
9004,"0207 26 10","Kawałki bez kości z indyka (z gatunków domowych), świeże lub schłodzone",I,2
9005,"0207 26 20","Połówki lub ćwiartki z indyka (z gatunków domowych), świeże lub schłodzone",I,2
9006,"0207 26 30","Całe skrzydła, nawet z końcami, z indyka (z gatunków domowych), świeże lub schłodzone",I,2
9007,"0207 26 40","Grzbiety, szyje, grzbiety, włącznie z szyjami, kupry i końce skrzydeł, z indyka (z gatunków domowych), świeże lub schłodzone",I,2
9008,"0207 26 50","Piersi i ich kawałki z indyka (z gatunków domowych), z kośćmi, świeże lub schłodzone",I,2
9009,"0207 26 60","Podudzia i ich kawałki z indyka (z gatunków domowych), z kośćmi, świeże lub schłodzone",I,2
9010,"0207 26 70","Nogi i ich kawałki (z wył. podudzi), z indyka (z gatunków domowych), z kośćmi, świeże lub schłodzone",I,2
9011,"0207 26 80","Kawałki z kośćmi, z indyka (z gatunków domowych), świeże lub schłodzone (z wył. połówek lub ćwiartek, całych skrzydeł, nawet z końcami, grzbietów, szyj, grzbietów włącznie z szyjami, kuprów i końców skrzydeł, piersi, nóg i ich kawałków)",I,2
9012,"0207 26 91","Wątróbki jadalne z indyka (z gatunków domowych), świeże lub schłodzone",I,2
9013,"0207 26 99","Podroby jadalne (z wył. wątróbek), z indyka (z gatunków domowych), świeże lub schłodzone",I,2
9014,"0207 27","Kawałki i jadalne podroby z indyka (z gatunków domowych), zamrożone",I,2
9015,"0207 27 10","Kawałki bez kości z indyka (z gatunków domowych), zamrożone",I,2
9016,"0207 27 20","Połówki lub ćwiartki z indyka (z gatunków domowych), zamrożone",I,2
9017,"0207 27 30","Całe skrzydła, nawet z końcami, z indyka (z gatunków domowych), zamrożone",I,2
9018,"0207 27 40","Grzbiety, szyje, grzbiety włącznie z szyjami, kupry i końce skrzydeł, z indyka (z gatunków domowych), zamrożone",I,2
9019,"0207 27 50","Piersi i ich kawałki z indyka (z gatunków domowych), z kośćmi, zamrożone",I,2
9020,"0207 27 60","Podudzia i ich kawałki z indyka (z gatunków domowych), z kośćmi, zamrożone",I,2
9021,"0207 27 70","Nogi i ich kawałki (z wył. podudzi) z indyka (z gatunków domowych), z kośćmi, zamrożone",I,2
9022,"0207 27 80","Kawałki z kośćmi z indyka (z gatunków domowych), zamrożone (z wył. połówek lub ćwiartek, całych skrzydeł, nawet z końcami, grzbietów, szyj, grzbietów włącznie z szyjami, kuprów i końców skrzydeł, piersi, nóg i ich kawałków)",I,2
9023,"0207 27 91","Wątróbki jadalne z indyka (z gatunków domowych), zamrożone",I,2
